station_code,station_name,region,lat,lon,month,avg_monthly_rainfall_mm,std_mm,n_years
S24,Changi,East,1.3678,103.9823,1,243.8,208.8,10
S24,Changi,East,1.3678,103.9823,2,103.6,104.3,10
S24,Changi,East,1.3678,103.9823,3,120.3,70.9,10
S24,Changi,East,1.3678,103.9823,4,175.5,76.5,10
S24,Changi,East,1.3678,103.9823,5,161.8,68.9,10
S24,Changi,East,1.3678,103.9823,6,173.4,58.2,10
S24,Changi,East,1.3678,103.9823,7,119.7,59.0,10
S24,Changi,East,1.3678,103.9823,8,128.1,73.9,10
S24,Changi,East,1.3678,103.9823,9,120.5,49.3,10
S24,Changi,East,1.3678,103.9823,10,158.1,65.3,10
S24,Changi,East,1.3678,103.9823,11,241.4,98.0,10
S24,Changi,East,1.3678,103.9823,12,263.9,88.9,10
S25,Seletar,North-Central,1.4114,103.8627,1,241.5,172.8,10
S25,Seletar,North-Central,1.4114,103.8627,2,122.3,92.8,10
S25,Seletar,North-Central,1.4114,103.8627,3,193.5,109.0,10
S25,Seletar,North-Central,1.4114,103.8627,4,218.9,75.6,10
S25,Seletar,North-Central,1.4114,103.8627,5,209.0,67.2,10
S25,Seletar,North-Central,1.4114,103.8627,6,219.9,73.4,10
S25,Seletar,North-Central,1.4114,103.8627,7,140.5,69.2,10
S25,Seletar,North-Central,1.4114,103.8627,8,143.0,76.5,10
S25,Seletar,North-Central,1.4114,103.8627,9,216.6,52.0,10
S25,Seletar,North-Central,1.4114,103.8627,10,199.5,107.9,10
S25,Seletar,North-Central,1.4114,103.8627,11,333.7,128.9,10
S25,Seletar,North-Central,1.4114,103.8627,12,310.9,111.2,10
S80,Sembawang,North,1.4247,103.8201,1,255.5,140.8,10
S80,Sembawang,North,1.4247,103.8201,2,132.1,93.6,10
S80,Sembawang,North,1.4247,103.8201,3,215.2,108.7,10
S80,Sembawang,North,1.4247,103.8201,4,223.5,55.9,10
S80,Sembawang,North,1.4247,103.8201,5,208.1,59.0,10
S80,Sembawang,North,1.4247,103.8201,6,176.7,73.2,10
S80,Sembawang,North,1.4247,103.8201,7,137.3,48.2,10
S80,Sembawang,North,1.4247,103.8201,8,174.3,128.1,10
S80,Sembawang,North,1.4247,103.8201,9,218.9,86.2,10
S80,Sembawang,North,1.4247,103.8201,10,198.3,78.1,10
S80,Sembawang,North,1.4247,103.8201,11,355.6,127.5,10
S80,Sembawang,North,1.4247,103.8201,12,247.6,115.4,10
S23,Tengah,West,1.3858,103.7119,1,209.8,121.7,10
S23,Tengah,West,1.3858,103.7119,2,152.5,90.2,10
S23,Tengah,West,1.3858,103.7119,3,247.2,84.8,10
S23,Tengah,West,1.3858,103.7119,4,258.5,76.2,10
S23,Tengah,West,1.3858,103.7119,5,233.8,43.4,10
S23,Tengah,West,1.3858,103.7119,6,282.2,68.4,10
S23,Tengah,West,1.3858,103.7119,7,211.6,112.7,10
S23,Tengah,West,1.3858,103.7119,8,198.1,130.9,10
S23,Tengah,West,1.3858,103.7119,9,213.8,89.3,10
S23,Tengah,West,1.3858,103.7119,10,232.6,112.2,10
S23,Tengah,West,1.3858,103.7119,11,311.4,62.8,10
S23,Tengah,West,1.3858,103.7119,12,211.2,47.4,10
S06,Paya Lebar,Central-East,1.357,103.904,1,264.9,201.1,10
S06,Paya Lebar,Central-East,1.357,103.904,2,142.9,111.4,10
S06,Paya Lebar,Central-East,1.357,103.904,3,182.3,100.2,10
S06,Paya Lebar,Central-East,1.357,103.904,4,220.9,65.0,10
S06,Paya Lebar,Central-East,1.357,103.904,5,230.6,60.2,10
S06,Paya Lebar,Central-East,1.357,103.904,6,201.0,95.1,10
S06,Paya Lebar,Central-East,1.357,103.904,7,153.9,47.9,10
S06,Paya Lebar,Central-East,1.357,103.904,8,148.9,110.4,10
S06,Paya Lebar,Central-East,1.357,103.904,9,162.5,68.6,10
S06,Paya Lebar,Central-East,1.357,103.904,10,174.1,74.7,10
S06,Paya Lebar,Central-East,1.357,103.904,11,321.0,84.1,10
S06,Paya Lebar,Central-East,1.357,103.904,12,276.5,76.5,10
S50,Clementi Road,West-Central,1.3318,103.7762,1,222.0,107.3,10
S50,Clementi Road,West-Central,1.3318,103.7762,2,132.7,113.5,10
S50,Clementi Road,West-Central,1.3318,103.7762,3,184.4,94.1,10
S50,Clementi Road,West-Central,1.3318,103.7762,4,255.4,67.5,10
S50,Clementi Road,West-Central,1.3318,103.7762,5,211.1,43.4,10
S50,Clementi Road,West-Central,1.3318,103.7762,6,250.9,136.7,10
S50,Clementi Road,West-Central,1.3318,103.7762,7,166.4,104.4,10
S50,Clementi Road,West-Central,1.3318,103.7762,8,160.0,129.6,10
S50,Clementi Road,West-Central,1.3318,103.7762,9,225.5,96.2,10
S50,Clementi Road,West-Central,1.3318,103.7762,10,215.7,98.6,10
S50,Clementi Road,West-Central,1.3318,103.7762,11,316.8,67.7,10
S50,Clementi Road,West-Central,1.3318,103.7762,12,259.0,61.8,10
S60,Sentosa,South,1.2504,103.8275,1,156.1,51.1,10
S60,Sentosa,South,1.2504,103.8275,2,112.9,113.4,10
S60,Sentosa,South,1.2504,103.8275,3,147.9,110.5,10
S60,Sentosa,South,1.2504,103.8275,4,216.1,87.0,10
S60,Sentosa,South,1.2504,103.8275,5,154.8,70.2,10
S60,Sentosa,South,1.2504,103.8275,6,180.1,72.9,10
S60,Sentosa,South,1.2504,103.8275,7,153.1,99.9,10
S60,Sentosa,South,1.2504,103.8275,8,151.7,98.5,10
S60,Sentosa,South,1.2504,103.8275,9,172.4,66.5,10
S60,Sentosa,South,1.2504,103.8275,10,191.5,105.0,10
S60,Sentosa,South,1.2504,103.8275,11,209.1,93.1,10
S60,Sentosa,South,1.2504,103.8275,12,238.5,84.0,9
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,1,201.7,103.8,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,2,155.9,85.7,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,3,217.1,82.2,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,4,249.4,89.9,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,5,277.7,100.4,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,6,269.1,98.8,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,7,151.9,103.1,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,8,199.5,130.4,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,9,229.3,93.1,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,10,232.0,100.9,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,11,270.2,80.1,10
S44,Nanyang Avenue (NTU),Far West,1.3458,103.6817,12,259.4,112.5,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,1,240.9,128.5,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,2,132.6,74.7,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,3,198.9,127.4,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,4,280.2,55.9,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,5,217.0,69.7,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,6,175.8,60.4,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,7,147.4,67.8,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,8,149.8,96.3,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,9,210.8,73.8,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,10,201.2,77.5,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,11,334.1,96.3,10
S109,Ang Mo Kio Ave 5,Central-North,1.3793,103.85,12,261.7,84.1,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,1,218.1,115.6,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,2,144.1,97.5,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,3,196.8,103.3,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,4,221.0,57.0,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,5,176.9,86.8,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,6,163.5,98.0,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,7,147.2,65.2,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,8,157.2,110.1,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,9,194.1,64.1,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,10,190.8,81.0,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,11,318.2,124.0,10
S104,Woodlands Ave 9,Far North,1.4439,103.7854,12,231.9,129.0,10
S29,Pasir Ris Road,North-East,1.3865,103.9413,1,158.7,133.0,10
S29,Pasir Ris Road,North-East,1.3865,103.9413,2,117.9,105.3,10
S29,Pasir Ris Road,North-East,1.3865,103.9413,3,117.7,95.0,10
S29,Pasir Ris Road,North-East,1.3865,103.9413,4,145.4,71.3,10
S29,Pasir Ris Road,North-East,1.3865,103.9413,5,147.6,90.6,10
S29,Pasir Ris Road,North-East,1.3865,103.9413,6,133.7,79.0,10
